logn, /results891, 9350, 3
nlogn, /results891, 10503, 1
logn, /results891, 9350, 1
nlogn, /results891, 10503, 2
logn, /results891, 9350, 4
nlogn, /results891, 10503, 3
logn, /results891, 9350, 3
nlogn, /results891, 10503, 4
logn, /results891, 9350, 2
nlogn, /results891, 10503, 2
logn, /results891, 9350, 2
nlogn, /results891, 10503, 5
logn, /results891, 9350, 4
nlogn, /results891, 10503, 3
logn, /results891, 9350, 8
nlogn, /results891, 10503, 3
logn, /results891, 9350, 3
nlogn, /results891, 10503, 6
logn, /results891, 9350, 4
nlogn, /results891, 10503, 3
logn, /results891, 9350, 6
nlogn, /results891, 10503, 6
logn, /results891, 9350, 6
nlogn, /results891, 10503, 4
logn, /results891, 9350, 5
nlogn, /results891, 10503, 4
logn, /results891, 9350, 5
nlogn, /results891, 10503, 7
logn, /results891, 9350, 6
nlogn, /results891, 10503, 4
logn, /results891, 9350, 6
nlogn, /results891, 10503, 4
logn, /results891, 9350, 4
nlogn, /results891, 10503, 5
logn, /results891, 9350, 10
nlogn, /results891, 10503, 7
logn, /results891, 9350, 10
nlogn, /results891, 10503, 5
logn, /results891, 9350, 9
nlogn, /results891, 10503, 5
logn, /results891, 9350, 7
nlogn, /results891, 10503, 5
logn, /results891, 9350, 8
nlogn, /results891, 10503, 8
logn, /results891, 9350, 6
nlogn, /results891, 10503, 6
logn, /results891, 9350, 5
nlogn, /results891, 10503, 5
logn, /results891, 9350, 6
nlogn, /results891, 10503, 7
logn, /results891, 9350, 4
nlogn, /results891, 10503, 6
logn, /results891, 9350, 6
nlogn, /results891, 10503, 7
logn, /results891, 9350, 8
nlogn, /results891, 10503, 8
logn, /results891, 9350, 7
nlogn, /results891, 10503, 9
logn, /results891, 9350, 11
nlogn, /results891, 10503, 8
logn, /results891, 9350, 5
nlogn, /results891, 10503, 4
logn, /results891, 9350, 4
nlogn, /results891, 10503, 9
logn, /results891, 9350, 6
nlogn, /results891, 10503, 4
logn, /results891, 9350, 9
nlogn, /results891, 10503, 8
logn, /results891, 9350, 7
nlogn, /results891, 10503, 7
logn, /results891, 9350, 9
nlogn, /results891, 10503, 9
logn, /results891, 9350, 8
nlogn, /results891, 10503, 8
logn, /results891, 9350, 8
nlogn, /results891, 10503, 5
logn, /results891, 9350, 5
nlogn, /results891, 10503, 5
logn, /results891, 9350, 6
nlogn, /results891, 10503, 10
logn, /results891, 9350, 8
nlogn, /results891, 10503, 11
logn, /results891, 9350, 7
nlogn, /results891, 10503, 9
logn, /results891, 9350, 6
nlogn, /results891, 10503, 12
